# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myChunk[1] c_myChunk[2] c_myChunk[3] c_myChunk[4]
10000 729
1 14.7919 2.59311 15.6989 33.0839
2 3.78208 9.84836 3.97968 17.6101
3 2.98197 2.35445 11.7967 17.1331
4 17.9576 2.92071 6.89267 27.771
5 26.8654 3.94053 15.7464 46.5523
6 1.93571 1.71402 3.06352 6.71326
7 6.94423 6.46806 2.78504 16.1973
8 3.45107 4.70884 15.3875 23.5474
9 10.14 3.5018 5.04266 18.6844
10 1.21585 1.25577 4.03152 6.50314
11 1.45776 1.63507 5.19743 8.29027
12 2.30631 5.39379 2.45789 10.158
13 11.2811 34.3449 4.38946 50.0154
14 17.0468 1.00657 7.85821 25.9116
15 2.93114 15.8058 5.06354 23.8005
16 20.7408 10.0457 0.878054 31.6645
17 18.8602 1.93988 10.2154 31.0155
18 1.3429 15.3187 1.99242 18.6541
19 3.29298 21.9276 6.5139 31.7345
20 16.2023 1.57168 6.00884 23.7828
21 10.9628 7.71027 9.46854 28.1416
22 9.5318 4.89958 1.64255 16.0739
23 39.5271 2.09936 8.12068 49.7471
24 78.1759 6.80057 7.00301 91.9794
25 10.9972 2.97331 12.421 26.3915
26 1.10186 0.583736 4.34753 6.03313
27 1.1845 4.34577 6.33619 11.8665
28 3.30039 6.80923 6.47165 16.5813
29 2.27355 46.4141 2.00811 50.6958
30 3.64148 18.1631 4.62285 26.4274
31 4.51609 13.5392 0.418871 18.4742
32 19.2584 2.30459 25.9343 47.4973
33 2.13272 3.28024 10.0883 15.5013
34 1.65115 1.41851 3.33807 6.40773
35 10.7691 3.08525 4.01881 17.8731
36 13.5255 36.7641 1.15858 51.4482
37 1.23218 15.6075 1.88911 18.7288
38 4.61835 57.3388 24.0275 85.9847
39 17.3646 5.53764 12.952 35.8542
40 7.82755 1.49603 14.0903 23.4139
41 10.5701 5.53067 2.16207 18.2628
42 21.2198 3.81884 4.91012 29.9488
43 9.14375 12.5042 9.18006 30.828
44 7.40046 15.9967 14.4541 37.8512
45 4.10137 8.48994 5.04896 17.6403
46 0.851728 3.91671 8.97483 13.7433
47 1.91787 5.80428 16.7152 24.4374
48 2.20277 7.89657 2.1526 12.2519
49 3.03857 4.17179 4.85455 12.0649
50 2.65243 15.6958 18.4822 36.8305
51 9.86309 3.40149 2.75167 16.0162
52 36.0495 21.0254 38.3112 95.3861
53 15.1265 2.12031 0.677449 17.9243
54 9.73828 16.2325 2.22447 28.1953
55 3.05667 7.78703 2.88729 13.731
56 12.2992 23.7885 22.5267 58.6144
57 3.2202 8.66121 3.48713 15.3685
58 7.68112 27.1337 3.25602 38.0708
59 1.54662 1.45433 6.15269 9.15363
60 16.9973 15.8136 3.3447 36.1555
61 14.106 7.66505 1.53867 23.3097
62 4.84276 20.6746 2.37261 27.89
63 6.06545 2.14326 101.752 109.961
64 1.82921 3.70111 5.57147 11.1018
65 6.26399 3.18025 1.74548 11.1897
66 5.8368 3.71432 9.8611 19.4122
67 1.60604 9.80849 2.13361 13.5481
68 0.440453 3.15479 12.6688 16.264
69 59.1265 20.2864 7.98555 87.3984
70 23.9018 0.909382 4.19434 29.0055
71 2.09773 2.82703 5.18464 10.1094
72 29.3695 3.27368 17.4469 50.0901
73 12.1563 3.74482 6.18572 22.0869
